"Date","Location","Variable","Value"
2019-06-05 09:50:00,"AK1","Dis.Oxygen.Sat (%)","94.3"
2019-06-05 09:50:00,"AK1","pH.25DegC (pH)","7.7"
2019-06-05 09:50:00,"AK1","NO3.NO2.as.N (ppb)","244"
2019-06-05 09:50:00,"AK1","P..Tot. (ppb)","45"
2019-06-05 09:50:00,"AK1","Tot.Coliforms (MPN/100ml)","1414"
2019-06-05 09:50:00,"AK1","E.Coli (MPN/100ml)","55"
2019-07-08 09:00:00,"AK1","Water.Temp (°C)","10.399999999999977"
2019-07-08 09:00:00,"AK1","Turbidity..Form.Neph. (FNU)","14.2"
2019-07-08 09:00:00,"AK1","Dis.Oxygen.Sat (%)","91.4"
2019-07-08 09:00:00,"AK1","pH.25DegC (pH)","7.4"
2019-07-08 09:00:00,"AK1","NO3.NO2.as.N (ppb)","1172"
2019-07-08 09:00:00,"AK1","P..Tot. (ppb)","57"
2019-07-08 09:00:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2019-07-08 09:00:00,"AK1","E.Coli (MPN/100ml)","687"
2019-08-01 09:10:00,"AK1","Water.Temp (°C)","11.5"
2019-08-01 09:10:00,"AK1","Turbidity..Form.Neph. (FNU)","9.3"
2019-08-01 09:10:00,"AK1","Dis.Oxygen.Sat (%)","92"
2019-08-01 09:10:00,"AK1","pH.25DegC (pH)","7.3"
2019-08-01 09:10:00,"AK1","NO3.NO2.as.N (ppb)","412"
2019-08-01 09:10:00,"AK1","P..Tot. (ppb)","47"
2019-08-01 09:10:00,"AK1","Tot.Coliforms (MPN/100ml)","1986"
2019-08-01 09:10:00,"AK1","E.Coli (MPN/100ml)","191"
2019-09-04 09:25:00,"AK1","Water.Temp (°C)","13.699999999999989"
2019-09-04 09:25:00,"AK1","Turbidity..Form.Neph. (FNU)","123"
2019-09-04 09:25:00,"AK1","Dis.Oxygen.Sat (%)","84.7"
2019-09-04 09:25:00,"AK1","pH.25DegC (pH)","7.1"
2019-09-04 09:25:00,"AK1","NO3.NO2.as.N (ppb)","254"
2019-09-04 09:25:00,"AK1","P..Tot. (ppb)","262"
2019-09-04 09:25:00,"AK1","Tot.Coliforms (MPN/100ml)","24192"
2019-09-04 09:25:00,"AK1","E.Coli (MPN/100ml)","19863"
2019-10-03 08:45:00,"AK1","Water.Temp (°C)","13.199999999999989"
2019-10-03 08:45:00,"AK1","Turbidity..Form.Neph. (FNU)","8.9"
2019-10-03 08:45:00,"AK1","Dis.Oxygen.Sat (%)","92.7"
2019-10-03 08:45:00,"AK1","pH.25DegC (pH)","7.6"
2019-10-03 08:45:00,"AK1","NO3.NO2.as.N (ppb)","306"
2019-10-03 08:45:00,"AK1","P..Tot. (ppb)","56"
2019-10-03 08:45:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2019-10-03 08:45:00,"AK1","E.Coli (MPN/100ml)","1733"
2019-11-06 09:00:00,"AK1","Water.Temp (°C)","17.899999999999977"
2019-11-06 09:00:00,"AK1","Turbidity..Form.Neph. (FNU)","4.5"
2019-11-06 09:00:00,"AK1","Dis.Oxygen.Sat (%)","91.3"
2019-11-06 09:00:00,"AK1","pH.25DegC (pH)","7.9"
2019-11-06 09:00:00,"AK1","NO3.NO2.as.N (ppb)","131"
2019-11-06 09:00:00,"AK1","P..Tot. (ppb)","40"
2019-11-06 09:00:00,"AK1","Tot.Coliforms (MPN/100ml)","1553"
2019-11-06 09:00:00,"AK1","E.Coli (MPN/100ml)","111"
2019-12-04 08:50:00,"AK1","Water.Temp (°C)","20.80000000000001"
2019-12-04 08:50:00,"AK1","Turbidity..Form.Neph. (FNU)","3.6"
2019-12-04 08:50:00,"AK1","Dis.Oxygen.Sat (%)","90.7"
2019-12-04 08:50:00,"AK1","pH.25DegC (pH)","7.8"
2019-12-04 08:50:00,"AK1","NO3.NO2.as.N (ppb)","1"
2019-12-04 08:50:00,"AK1","P..Tot. (ppb)","41"
2019-12-04 08:50:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2019-12-04 08:50:00,"AK1","E.Coli (MPN/100ml)","173"
2020-01-09 09:40:00,"AK1","Water.Temp (°C)","18.899999999999977"
2020-01-09 09:40:00,"AK1","Turbidity..Form.Neph. (FNU)","3.9"
2020-01-09 09:40:00,"AK1","Dis.Oxygen.Sat (%)","95.9"
2020-01-09 09:40:00,"AK1","pH.25DegC (pH)","8.1"
2020-01-09 09:40:00,"AK1","NO3.NO2.as.N (ppb)","1"
2020-01-09 09:40:00,"AK1","P..Tot. (ppb)","45"
2020-01-09 09:40:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2020-01-09 09:40:00,"AK1","E.Coli (MPN/100ml)","41"
2020-02-04 09:00:00,"AK1","Water.Temp (°C)","24.19999999999999"
2020-02-04 09:00:00,"AK1","Turbidity..Form.Neph. (FNU)","1.8"
2020-02-04 09:00:00,"AK1","Dis.Oxygen.Sat (%)","81.4"
2020-02-04 09:00:00,"AK1","pH.25DegC (pH)","7.9"
2020-02-04 09:00:00,"AK1","NO3.NO2.as.N (ppb)","1"
2020-02-04 09:00:00,"AK1","P..Tot. (ppb)","37"
2020-02-04 09:00:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2020-02-04 09:00:00,"AK1","E.Coli (MPN/100ml)","75"
2020-03-04 09:20:00,"AK1","Water.Temp (°C)","21.899999999999977"
2020-03-04 09:20:00,"AK1","Turbidity..Form.Neph. (FNU)","2.4"
2020-03-04 09:20:00,"AK1","Dis.Oxygen.Sat (%)","69.8"
2020-03-04 09:20:00,"AK1","pH.25DegC (pH)","7.5"
2020-03-04 09:20:00,"AK1","NO3.NO2.as.N (ppb)","1"
2020-03-04 09:20:00,"AK1","P..Tot. (ppb)","34"
2020-03-04 09:20:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2020-03-04 09:20:00,"AK1","E.Coli (MPN/100ml)","1414"
2020-05-13 09:50:00,"AK1","Water.Temp (°C)","14.199999999999989"
2020-05-13 09:50:00,"AK1","Turbidity..Form.Neph. (FNU)","1.1"
2020-05-13 09:50:00,"AK1","Dis.Oxygen.Sat (%)","84.3"
2020-05-13 09:50:00,"AK1","pH.25DegC (pH)","7.8"
2020-05-13 09:50:00,"AK1","NO3.NO2.as.N (ppb)","14"
2020-05-13 09:50:00,"AK1","P..Tot. (ppb)","28"
2020-05-13 09:50:00,"AK1","Tot.Coliforms (MPN/100ml)","980"
2020-05-13 09:50:00,"AK1","E.Coli (MPN/100ml)","613"
2020-06-09 10:05:00,"AK1","Water.Temp (°C)","11.899999999999977"
2020-06-09 10:05:00,"AK1","Turbidity..Form.Neph. (FNU)","5"
2020-06-09 10:05:00,"AK1","Dis.Oxygen.Sat (%)","90.5"
2020-06-09 10:05:00,"AK1","pH.25DegC (pH)","7.1"
2020-06-09 10:05:00,"AK1","NO3.NO2.as.N (ppb)","1138"
2020-06-09 10:05:00,"AK1","P..Tot. (ppb)","38"
2020-06-09 10:05:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2020-06-09 10:05:00,"AK1","E.Coli (MPN/100ml)","118"
2020-07-07 09:35:00,"AK1","Water.Temp (°C)","11.699999999999989"
2020-07-07 09:35:00,"AK1","Turbidity..Form.Neph. (FNU)","19.6"
2020-07-07 09:35:00,"AK1","Dis.Oxygen.Sat (%)","89.6"
2020-07-07 09:35:00,"AK1","pH.25DegC (pH)","7.3"
2020-07-07 09:35:00,"AK1","NO3.NO2.as.N (ppb)","820"
2020-07-07 09:35:00,"AK1","P..Tot. (ppb)","59"
2020-07-07 09:35:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2020-07-07 09:35:00,"AK1","E.Coli (MPN/100ml)","1046"
2020-08-04 09:45:00,"AK1","Water.Temp (°C)","12.5"
2020-08-04 09:45:00,"AK1","Turbidity..Form.Neph. (FNU)","7.9"
2020-08-04 09:45:00,"AK1","Dis.Oxygen.Sat (%)","93.1"
2020-08-04 09:45:00,"AK1","pH.25DegC (pH)","7.3"
2020-08-04 09:45:00,"AK1","NO3.NO2.as.N (ppb)","414"
2020-08-04 09:45:00,"AK1","P..Tot. (ppb)","43"
2020-08-04 09:45:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2020-08-04 09:45:00,"AK1","E.Coli (MPN/100ml)","206"
2020-09-01 09:30:00,"AK1","Water.Temp (°C)","12.5"
2020-09-01 09:30:00,"AK1","Turbidity..Form.Neph. (FNU)","7"
2020-09-01 09:30:00,"AK1","Dis.Oxygen.Sat (%)","93.9"
2020-09-01 09:30:00,"AK1","pH.25DegC (pH)","7.6"
2020-09-01 09:30:00,"AK1","NO3.NO2.as.N (ppb)","448"
2020-09-01 09:30:00,"AK1","P..Tot. (ppb)","34"
2020-09-01 09:30:00,"AK1","Tot.Coliforms (MPN/100ml)","1986"
2020-09-01 09:30:00,"AK1","E.Coli (MPN/100ml)","96"
2020-10-01 09:10:00,"AK1","Water.Temp (°C)","13.899999999999977"
2020-10-01 09:10:00,"AK1","Turbidity..Form.Neph. (FNU)","7.4"
2020-10-01 09:10:00,"AK1","Dis.Oxygen.Sat (%)","93.4"
2020-10-01 09:10:00,"AK1","pH.25DegC (pH)","7.5"
2020-10-01 09:10:00,"AK1","NO3.NO2.as.N (ppb)","200"
2020-10-01 09:10:00,"AK1","P..Tot. (ppb)","39"
2020-10-01 09:10:00,"AK1","Tot.Coliforms (MPN/100ml)","687"
2020-10-01 09:10:00,"AK1","E.Coli (MPN/100ml)","131"
2020-11-04 09:00:00,"AK1","Water.Temp (°C)","19.19999999999999"
2020-11-04 09:00:00,"AK1","Turbidity..Form.Neph. (FNU)","3.7"
2020-11-04 09:00:00,"AK1","Dis.Oxygen.Sat (%)","88.9"
2020-11-04 09:00:00,"AK1","pH.25DegC (pH)","7.7"
2020-11-04 09:00:00,"AK1","NO3.NO2.as.N (ppb)","47"
2020-11-04 09:00:00,"AK1","P..Tot. (ppb)","37"
2020-11-04 09:00:00,"AK1","Tot.Coliforms (MPN/100ml)","1733"
2020-11-04 09:00:00,"AK1","E.Coli (MPN/100ml)","285"
2020-12-01 09:15:00,"AK1","Water.Temp (°C)","17.80000000000001"
2020-12-01 09:15:00,"AK1","Turbidity..Form.Neph. (FNU)","4"
2020-12-01 09:15:00,"AK1","Dis.Oxygen.Sat (%)","89.5"
2020-12-01 09:15:00,"AK1","pH.25DegC (pH)","7.6"
2020-12-01 09:15:00,"AK1","NO3.NO2.as.N (ppb)","17"
2020-12-01 09:15:00,"AK1","P..Tot. (ppb)","38"
2020-12-01 09:15:00,"AK1","Tot.Coliforms (MPN/100ml)","1553"
2020-12-01 09:15:00,"AK1","E.Coli (MPN/100ml)","173"
2021-01-12 09:10:00,"AK1","Water.Temp (°C)","21.19999999999999"
2021-01-12 09:10:00,"AK1","Turbidity..Form.Neph. (FNU)","2.2"
2021-01-12 09:10:00,"AK1","Dis.Oxygen.Sat (%)","89.8"
2021-01-12 09:10:00,"AK1","pH.25DegC (pH)","7.9"
2021-01-12 09:10:00,"AK1","NO3.NO2.as.N (ppb)","2"
2021-01-12 09:10:00,"AK1","P..Tot. (ppb)","38"
2021-01-12 09:10:00,"AK1","Tot.Coliforms (MPN/100ml)","1553"
2021-01-12 09:10:00,"AK1","E.Coli (MPN/100ml)","68"
2021-02-04 09:00:00,"AK1","Water.Temp (°C)","21"
2021-02-04 09:00:00,"AK1","Turbidity..Form.Neph. (FNU)","3.4"
2021-02-04 09:00:00,"AK1","Dis.Oxygen.Sat (%)","87.4"
2021-02-04 09:00:00,"AK1","pH.25DegC (pH)","7.9"
2021-02-04 09:00:00,"AK1","NO3.NO2.as.N (ppb)","3"
2021-02-04 09:00:00,"AK1","P..Tot. (ppb)","34"
2021-02-04 09:00:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2021-02-04 09:00:00,"AK1","E.Coli (MPN/100ml)","75"
2021-03-09 09:15:00,"AK1","Water.Temp (°C)","19.399999999999977"
2021-03-09 09:15:00,"AK1","Turbidity..Form.Neph. (FNU)","2"
2021-03-09 09:15:00,"AK1","Dis.Oxygen.Sat (%)","87.6"
2021-03-09 09:15:00,"AK1","pH.25DegC (pH)","7.6"
2021-03-09 09:15:00,"AK1","NO3.NO2.as.N (ppb)","3"
2021-03-09 09:15:00,"AK1","P..Tot. (ppb)","50"
2021-03-09 09:15:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2021-03-09 09:15:00,"AK1","E.Coli (MPN/100ml)","41"
2021-04-06 09:45:00,"AK1","Water.Temp (°C)","18.100000000000023"
2021-04-06 09:45:00,"AK1","Turbidity..Form.Neph. (FNU)","1.9"
2021-04-06 09:45:00,"AK1","Dis.Oxygen.Sat (%)","86.3"
2021-04-06 09:45:00,"AK1","pH.25DegC (pH)","7.8"
2021-04-06 09:45:00,"AK1","NO3.NO2.as.N (ppb)","7"
2021-04-06 09:45:00,"AK1","P..Tot. (ppb)","42"
2021-04-06 09:45:00,"AK1","Tot.Coliforms (MPN/100ml)","1414"
2021-04-06 09:45:00,"AK1","E.Coli (MPN/100ml)","82"
2021-05-04 10:35:00,"AK1","Water.Temp (°C)","12.300000000000011"
2021-05-04 10:35:00,"AK1","Turbidity..Form.Neph. (FNU)","2"
2021-05-04 10:35:00,"AK1","Dis.Oxygen.Sat (%)","94.2"
2021-05-04 10:35:00,"AK1","pH.25DegC (pH)","7.7"
2021-05-04 10:35:00,"AK1","NO3.NO2.as.N (ppb)","2"
2021-05-04 10:35:00,"AK1","P..Tot. (ppb)","31"
2021-05-04 10:35:00,"AK1","Tot.Coliforms (MPN/100ml)","770"
2021-05-04 10:35:00,"AK1","E.Coli (MPN/100ml)","46"
2021-06-02 10:10:00,"AK1","Water.Temp (°C)","10.399999999999977"
2021-06-02 10:10:00,"AK1","Turbidity..Form.Neph. (FNU)","2.1"
2021-06-02 10:10:00,"AK1","Dis.Oxygen.Sat (%)","92.8"
2021-06-02 10:10:00,"AK1","pH.25DegC (pH)","7.7"
2021-06-02 10:10:00,"AK1","NO3.NO2.as.N (ppb)","66"
2021-06-02 10:10:00,"AK1","P..Tot. (ppb)","27"
2021-06-02 10:10:00,"AK1","Tot.Coliforms (MPN/100ml)","1414"
2021-06-02 10:10:00,"AK1","E.Coli (MPN/100ml)","61"
2021-07-06 09:30:00,"AK1","Water.Temp (°C)","8.399999999999977"
2021-07-06 09:30:00,"AK1","Turbidity..Form.Neph. (FNU)","3.7"
2021-07-06 09:30:00,"AK1","Dis.Oxygen.Sat (%)","95.5"
2021-07-06 09:30:00,"AK1","pH.25DegC (pH)","7.5"
2021-07-06 09:30:00,"AK1","NO3.NO2.as.N (ppb)","472"
2021-07-06 09:30:00,"AK1","P..Tot. (ppb)","34"
2021-07-06 09:30:00,"AK1","Tot.Coliforms (MPN/100ml)","921"
2021-07-06 09:30:00,"AK1","E.Coli (MPN/100ml)","153"
2021-08-04 09:40:00,"AK1","Water.Temp (°C)","10"
2021-08-04 09:40:00,"AK1","Turbidity..Form.Neph. (FNU)","6.2"
2021-08-04 09:40:00,"AK1","Dis.Oxygen.Sat (%)","92.1"
2021-08-04 09:40:00,"AK1","pH.25DegC (pH)","7.5"
2021-08-04 09:40:00,"AK1","NO3.NO2.as.N (ppb)","502"
2021-08-04 09:40:00,"AK1","P..Tot. (ppb)","42"
2021-08-04 09:40:00,"AK1","Tot.Coliforms (MPN/100ml)","1733"
2021-08-04 09:40:00,"AK1","E.Coli (MPN/100ml)","116"
2021-10-06 09:22:00,"AK1","Water.Temp (°C)","15.300000000000011"
2021-10-06 09:22:00,"AK1","Turbidity..Form.Neph. (FNU)","8.8"
2021-10-06 09:22:00,"AK1","Dis.Oxygen.Sat (%)","91.4"
2021-10-06 09:22:00,"AK1","pH.25DegC (pH)","7.4"
2021-10-06 09:22:00,"AK1","NO3.NO2.as.N (ppb)",""
2021-10-06 09:22:00,"AK1","P..Tot. (ppb)",""
2021-10-06 09:22:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2021-10-06 09:22:00,"AK1","E.Coli (MPN/100ml)","517"
2021-11-02 09:24:00,"AK1","Water.Temp (°C)","15.199999999999989"
2021-11-02 09:24:00,"AK1","Turbidity..Form.Neph. (FNU)","13.7"
2021-11-02 09:24:00,"AK1","Dis.Oxygen.Sat (%)","88.7"
2021-11-02 09:24:00,"AK1","pH.25DegC (pH)","7.2"
2021-11-02 09:24:00,"AK1","NO3.NO2.as.N (ppb)","319"
2021-11-02 09:24:00,"AK1","P..Tot. (ppb)","74"
2021-11-02 09:24:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2021-11-02 09:24:00,"AK1","E.Coli (MPN/100ml)","261"
2021-12-14 09:00:00,"AK1","Water.Temp (°C)","19.600000000000023"
2021-12-14 09:00:00,"AK1","Turbidity..Form.Neph. (FNU)","38.2"
2021-12-14 09:00:00,"AK1","Dis.Oxygen.Sat (%)","81.5"
2021-12-14 09:00:00,"AK1","pH.25DegC (pH)","7.2"
2021-12-14 09:00:00,"AK1","NO3.NO2.as.N (ppb)","321"
2021-12-14 09:00:00,"AK1","P..Tot. (ppb)","127"
2021-12-14 09:00:00,"AK1","Tot.Coliforms (MPN/100ml)","24192"
2021-12-14 09:00:00,"AK1","E.Coli (MPN/100ml)","3448"
2022-01-11 09:20:00,"AK1","Water.Temp (°C)","21.600000000000023"
2022-01-11 09:20:00,"AK1","Turbidity..Form.Neph. (FNU)","3.1"
2022-01-11 09:20:00,"AK1","Dis.Oxygen.Sat (%)","88.8"
2022-01-11 09:20:00,"AK1","pH.25DegC (pH)","7.8"
2022-01-11 09:20:00,"AK1","NO3.NO2.as.N (ppb)","7"
2022-01-11 09:20:00,"AK1","P..Tot. (ppb)","38"
2022-01-11 09:20:00,"AK1","Tot.Coliforms (MPN/100ml)","1553"
2022-01-11 09:20:00,"AK1","E.Coli (MPN/100ml)","64"
2022-02-08 08:00:00,"AK1","Water.Temp (°C)","22.30000000000001"
2022-02-08 08:00:00,"AK1","Turbidity..Form.Neph. (FNU)","8.1"
2022-02-08 08:00:00,"AK1","Dis.Oxygen.Sat (%)","78.8"
2022-02-08 08:00:00,"AK1","pH.25DegC (pH)","7.3"
2022-02-08 08:00:00,"AK1","NO3.NO2.as.N (ppb)","33"
2022-02-08 08:00:00,"AK1","P..Tot. (ppb)","55"
2022-02-08 08:00:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2022-02-08 08:00:00,"AK1","E.Coli (MPN/100ml)","980"
2022-03-09 08:48:00,"AK1","Water.Temp (°C)","19.80000000000001"
2022-03-09 08:48:00,"AK1","Turbidity..Form.Neph. (FNU)","2"
2022-03-09 08:48:00,"AK1","Dis.Oxygen.Sat (%)","88.2"
2022-03-09 08:48:00,"AK1","pH.25DegC (pH)","7.9"
2022-03-09 08:48:00,"AK1","NO3.NO2.as.N (ppb)","1"
2022-03-09 08:48:00,"AK1","P..Tot. (ppb)","25"
2022-03-09 08:48:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2022-03-09 08:48:00,"AK1","E.Coli (MPN/100ml)","93"
2022-04-05 09:20:00,"AK1","Water.Temp (°C)","18.5"
2022-04-05 09:20:00,"AK1","Turbidity..Form.Neph. (FNU)","3.6"
2022-04-05 09:20:00,"AK1","Dis.Oxygen.Sat (%)","85.4"
2022-04-05 09:20:00,"AK1","pH.25DegC (pH)","7.6"
2022-04-05 09:20:00,"AK1","NO3.NO2.as.N (ppb)","152"
2022-04-05 09:20:00,"AK1","P..Tot. (ppb)","50"
2022-04-05 09:20:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2022-04-05 09:20:00,"AK1","E.Coli (MPN/100ml)","82"
2022-05-10 21:45:00,"AK1","Water.Temp (°C)","13.399999999999977"
2022-05-10 21:45:00,"AK1","Turbidity..Form.Neph. (FNU)","3"
2022-05-10 21:45:00,"AK1","Dis.Oxygen.Sat (%)","91.1"
2022-05-10 21:45:00,"AK1","pH.25DegC (pH)","7.6"
2022-05-10 21:45:00,"AK1","NO3.NO2.as.N (ppb)","85"
2022-05-10 21:45:00,"AK1","P..Tot. (ppb)","33"
2022-05-10 21:45:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2022-05-10 21:45:00,"AK1","E.Coli (MPN/100ml)","119"
2022-06-07 09:40:00,"AK1","Water.Temp (°C)","14.300000000000011"
2022-06-07 09:40:00,"AK1","Turbidity..Form.Neph. (FNU)","28.2"
2022-06-07 09:40:00,"AK1","Dis.Oxygen.Sat (%)","86.6"
2022-06-07 09:40:00,"AK1","pH.25DegC (pH)","7.3"
2022-06-07 09:40:00,"AK1","NO3.NO2.as.N (ppb)","698"
2022-06-07 09:40:00,"AK1","P..Tot. (ppb)","99"
2022-06-07 09:40:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2022-06-07 09:40:00,"AK1","E.Coli (MPN/100ml)","1986"
2022-07-05 09:40:00,"AK1","Water.Temp (°C)","11.100000000000023"
2022-07-05 09:40:00,"AK1","Turbidity..Form.Neph. (FNU)","6.9"
2022-07-05 09:40:00,"AK1","Dis.Oxygen.Sat (%)","93.8"
2022-07-05 09:40:00,"AK1","pH.25DegC (pH)","7.4"
2022-07-05 09:40:00,"AK1","NO3.NO2.as.N (ppb)","486"
2022-07-05 09:40:00,"AK1","P..Tot. (ppb)","50"
2022-07-05 09:40:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2022-07-05 09:40:00,"AK1","E.Coli (MPN/100ml)","46"
2022-08-02 09:54:00,"AK1","Water.Temp (°C)","11"
2022-08-02 09:54:00,"AK1","Turbidity..Form.Neph. (FNU)","13.9"
2022-08-02 09:54:00,"AK1","Dis.Oxygen.Sat (%)","92.6"
2022-08-02 09:54:00,"AK1","pH.25DegC (pH)","7.3"
2022-08-02 09:54:00,"AK1","NO3.NO2.as.N (ppb)","467"
2022-08-02 09:54:00,"AK1","P..Tot. (ppb)","58"
2022-08-02 09:54:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2022-08-02 09:54:00,"AK1","E.Coli (MPN/100ml)","138"
2022-09-06 10:10:00,"AK1","Water.Temp (°C)","13"
2022-09-06 10:10:00,"AK1","Turbidity..Form.Neph. (FNU)","84.5"
2022-09-06 10:10:00,"AK1","Dis.Oxygen.Sat (%)","88.9"
2022-09-06 10:10:00,"AK1","pH.25DegC (pH)","7.4"
2022-09-06 10:10:00,"AK1","NO3.NO2.as.N (ppb)","362"
2022-09-06 10:10:00,"AK1","P..Tot. (ppb)","168"
2022-09-06 10:10:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2022-09-06 10:10:00,"AK1","E.Coli (MPN/100ml)","2419"
2022-10-04 08:45:00,"AK1","Water.Temp (°C)","15"
2022-10-04 08:45:00,"AK1","Turbidity..Form.Neph. (FNU)","33.4"
2022-10-04 08:45:00,"AK1","Dis.Oxygen.Sat (%)","87.2"
2022-10-04 08:45:00,"AK1","pH.25DegC (pH)","7.2"
2022-10-04 08:45:00,"AK1","NO3.NO2.as.N (ppb)","407"
2022-10-04 08:45:00,"AK1","P..Tot. (ppb)","111"
2022-10-04 08:45:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2022-10-04 08:45:00,"AK1","E.Coli (MPN/100ml)","1986"
2022-11-01 09:20:00,"AK1","Water.Temp (°C)","17.30000000000001"
2022-11-01 09:20:00,"AK1","Turbidity..Form.Neph. (FNU)","34.2"
2022-11-01 09:20:00,"AK1","Dis.Oxygen.Sat (%)","85.6"
2022-11-01 09:20:00,"AK1","pH.25DegC (pH)","7.6"
2022-11-01 09:20:00,"AK1","NO3.NO2.as.N (ppb)","494"
2022-11-01 09:20:00,"AK1","P..Tot. (ppb)","99"
2022-11-01 09:20:00,"AK1","Tot.Coliforms (MPN/100ml)","2419"
2022-11-01 09:20:00,"AK1","E.Coli (MPN/100ml)","5794"
2022-12-06 09:20:00,"AK1","Water.Temp (°C)","17.100000000000023"
2022-12-06 09:20:00,"AK1","Turbidity..Form.Neph. (FNU)","6.7"
2022-12-06 09:20:00,"AK1","Dis.Oxygen.Sat (%)","92"
2022-12-06 09:20:00,"AK1","pH.25DegC (pH)","7.8"
2022-12-06 09:20:00,"AK1","NO3.NO2.as.N (ppb)","247"
2022-12-06 09:20:00,"AK1","P..Tot. (ppb)","50"
2022-12-06 09:20:00,"AK1","Tot.Coliforms (MPN/100ml)","1733"
2022-12-06 09:20:00,"AK1","E.Coli (MPN/100ml)","71"
2023-01-10 11:05:00,"AK1","Water.Temp (°C)","18.5"
2023-01-10 11:05:00,"AK1","Turbidity..Form.Neph. (FNU)","286"
